BankName,City,ST,CERT,AcquiringInstitution,ClosingDate,UpdatedDate
Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,1-Feb-02,25-Oct-12
Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.",30-Jan-09,31-Jan-19
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,14-Jan-11,13-Nov-17
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,21-Oct-11,29-Jan-19
Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,9-Feb-17
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",16-Jul-10,11-Jul-16
Omni National Bank,Atlanta,GA,22238,No Acquirer,27-Mar-09,31-Jan-19
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,15-Jul-11,29-Jan-19
Orion Bank,Naples,FL,22427,IBERIABANK,13-Nov-09,1-Feb-19
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,10-Apr-17
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,30-Oct-09,1-Feb-19
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",20-Aug-10,15-May-19
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,27-Apr-12,7-Dec-15
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,13-Aug-10,29-Jan-19
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,10-Dec-10,21-Sep-15
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,30-Oct-09,1-Feb-19
Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",26-Apr-13,6-Oct-17
Partners Bank,Naples,FL,57959,Stonegate Bank,23-Oct-09,5-Feb-15
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,27-Jan-12,13-Nov-17
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2-Sep-11,28-Jun-17
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,11-May-18
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",31-Jul-09,10-Sep-18
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,18-Dec-09,15-Oct-18
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,11-Feb-11,20-Feb-18
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,31-Jan-19
PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",21-Nov-08,31-Jan-19
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,14-Oct-11,21-Mar-14
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,5-Nov-10,19-Oct-15
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,26-Oct-12
Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,13-Feb-09,7-Dec-15
Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",10-May-13,8-Aug-16
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,27-Apr-12,10-Nov-16
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,4-Sep-09,1-Feb-19
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,18-Nov-11,15-Aug-12
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",22-Jan-10,21-Sep-15
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",10-Jul-15,20-Feb-18
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,23-Mar-12,29-Jan-19
Premier Bank,Jefferson City,MO,34016,Providence Bank,15-Oct-10,29-Jan-19
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,16-Dec-11,19-Feb-18
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3-Mar-17,29-Jan-19
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,22-Oct-10,4-Feb-16
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",6-Nov-09,1-Feb-19
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",18-Aug-11,12-Feb-18
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,14-Nov-03,6-Oct-17
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,15-Jun-12,13-Feb-18
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,31-Jan-19
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,7-Jun-18
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,6-Aug-10,29-Jan-19
Reliance Bank,White Plains,NY,26778,Union State Bank,19-Mar-04,9-Apr-08
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,11-Dec-09,1-Feb-19
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,13-Feb-09,31-Jan-19
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,31-Jan-19
Riverview Community Bank,Otsego,MN,57525,Central Bank,23-Oct-09,21-Dec-17
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2-Jul-09,9-May-18
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,18-Dec-09,1-Feb-19
Rosemount National Bank,Rosemount,MN,24099,Central Bank,15-Apr-11,7-Dec-15
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,30-Oct-09,1-Feb-19
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,16-Oct-09,1-Feb-19
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,12-Sep-16
Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,12-Dec-08,31-Jan-19
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,31-Jan-19
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",10-Feb-12,29-Jan-19
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,27-Jan-17,29-Jan-19
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,20-Jul-12,3-Jan-18
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,24-Jul-09,31-Jan-19
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,24-Jul-09,23-Oct-17
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,24-Jul-09,17-Oct-15
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,24-Jul-09,20-Aug-12
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,24-Jul-09,20-Aug-12
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,24-Jul-09,6-Jan-16
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,4-May-12,12-Apr-16
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,15-Jun-12,26-Nov-18
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,7-Nov-08,1-Feb-19
Security Savings Bank,Henderson,NV,34820,Bank of Nevada,27-Feb-09,7-Sep-12
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,15-Oct-10,29-Jan-19
Sherman County Bank,Loup City,NE,5431,Heritage Bank,13-Feb-09,17-Aug-12
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,20-Aug-10,29-Jan-19
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,1-Oct-10,29-Jan-19
Signature Bank,Windsor,CO,57835,Points West Community Bank,8-Jul-11,26-Oct-12
Silver Falls Bank,Silverton,OR,35399,Citizens Bank,20-Feb-09,1-Feb-19
Silver State Bank,Henderson,NV,34194,Nevada State Bank,5-Sep-08,1-Feb-19
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,1-May-09,1-Feb-19
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,7-Sep-01,6-Oct-17
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",30-May-14,12-Dec-16
SolutionsBank,Overland Park,KS,4731,Arvest Bank,11-Dec-09,3-Jan-18
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,20-Aug-10,8-Aug-18
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2-Oct-09,12-Dec-16
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,19-Jun-09,21-Sep-15
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,7-Feb-03,20-Oct-08
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,22-Jul-11,5-Feb-15
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,4-Feb-16
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,23-Jul-10,31-Jan-19
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,15-Jan-10,8-Aug-16
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,8-Aug-16
Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,31-Jan-19
Sterling Bank,Lantana,FL,32536,IBERIABANK,23-Jul-10,22-Feb-18
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,22-May-09,1-Feb-19
Suburban FSB,Crofton,MD,30763,Bank of Essex,30-Jan-09,4-Feb-16
Summit Bank,Prescott,AZ,57442,The Foothills Bank,15-Jul-11,19-Aug-14
Summit Bank,Burlington,WA,513,Columbia State Bank,20-May-11,23-Oct-17
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,31-Jan-19
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,7-Oct-11,8-May-17
Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,31-Jan-19
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,4-Nov-11,9-Aug-17
Sunrise Bank,Valdosta,GA,58185,Synovus Bank,10-May-13,29-Jan-19
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",23-Aug-13,3-May-17
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",11-Feb-11,8-Aug-16
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",15-Apr-11,29-Jan-19
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",27-Jul-01,19-Aug-14
Syringa Bank,Boise,ID,34296,Sunwest Bank,31-Jan-14,12-Apr-16
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,31-Jan-19
"TeamBank, NA",Paola,KS,4754,Great Southern Bank,20-Mar-09,12-Sep-16
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,17-Jul-09,20-Oct-16
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,27-Jan-12,29-Jan-19
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",13-Dec-13,13-Feb-18
The Bank of Asheville,Asheville,NC,34516,First Bank,21-Jan-11,29-Jan-19
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,31-Jan-19
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,25-Mar-11,13-Apr-18
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2-Oct-15,9-Jul-18
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,17-Dec-10,29-Jan-19
The Bank of Union,El Reno,OK,17967,BancFirst,24-Jan-14,29-Jan-19
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,4-Dec-09,1-Feb-19
The Community's Bank,Bridgeport,CT,57041,No Acquirer,13-Sep-13,7-Dec-15
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,30-Jul-10,29-Jan-19
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2-Jul-09,10-May-18
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",31-May-19,5-Jun-19
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,13-Oct-17,21-Feb-18
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,15-Jun-12,8-Aug-16
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,22-Oct-10,17-Oct-15
The First National Bank of Florida,Milton,FL,25155,CharterBank,9-Sep-11,21-Mar-14
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,12-Aug-11,8-Jun-18
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,20-Jan-12,29-Jan-19
The First State Bank,Camargo,OK,2303,Bank 7,28-Jan-11,13-Nov-17
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,27-Jun-14,21-Feb-18
The Gordon Bank,Gordon,GA,33904,Morris Bank,22-Oct-10,29-Jan-19
The La Coste National Bank,La Coste,TX,3287,Community National Bank,19-Feb-10,19-Aug-14
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,24-Oct-14,6-Jan-16
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,29-Apr-11,29-Jan-19
The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,31-Jan-19
The Peoples Bank,Winder,GA,182,Community & Southern Bank,17-Sep-10,6-Oct-17
The RiverBank,Wyoming,MN,10216,Central Bank,7-Oct-11,9-May-18
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,20-Jul-12,21-Mar-14
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,4-Dec-09,21-Mar-14
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,19-Aug-16,13-Dec-18
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,23-Jul-10,13-Sep-12
TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,31-Jan-19
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,12-Nov-10,29-Jan-19
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,15-Jan-10,1-Feb-19
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,31-Jan-19
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,14-Sep-12,11-Dec-18
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,29-Apr-16,14-Sep-18
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,16-Jul-10,12-Sep-16
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,14-Aug-09,1-Feb-19
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,17-Dec-10,17-Oct-15
United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,1-Feb-19
United Security Bank,Sparta,GA,22286,Ameris Bank,6-Nov-09,1-Feb-19
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,21-Jan-11,29-Jan-19
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,21-Sep-15
Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,27-Jun-02,6-Oct-17
USA Bank,Port Chester,NY,58072,New Century Bank,9-Jul-10,31-Jan-19
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",20-Jun-14,29-Jan-19
Valley Bank,Moline,IL,10450,Great Southern Bank,20-Jun-14,29-Jan-19
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,11-Dec-09,20-Oct-16
Valley Community Bank,St. Charles,IL,34187,First State Bank,25-Feb-11,5-Feb-15
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,28-Feb-14,7-Jan-18
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,4-Sep-09,1-Feb-19
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,11-Sep-09,1-Feb-19
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,17-Jul-09,14-Sep-18
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,29-Jul-11,9-Oct-12
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,8-Jun-12,29-Jan-19
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,1-Oct-10,29-Jan-19
Warren Bank,Warren,MI,34824,The Huntington National Bank,2-Oct-09,1-Feb-19
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,15-Dec-17,1-Feb-19
Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,22-Feb-18
Washington Mutual Bank,Henderson,NV,32633,JP Morgan Chase Bank,25-Sep-08,15-Apr-19
Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,31-Jan-19
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",24-Jul-09,1-Nov-13
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,3-Aug-12,7-Dec-15
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,15-Oct-10,9-Feb-17
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,5-Nov-10,12-Sep-16
Western National Bank,Phoenix,AZ,57917,Washington Federal,16-Dec-11,5-Feb-15
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,8-Apr-11,17-Apr-18
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,31-Jan-19
Westside Community Bank,University Place,WA,33997,Sunwest Bank,11-Jan-13,8-Aug-16
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,8-May-09,1-Feb-19
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,31-Jan-19
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,20-Oct-16
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,16-Jul-10,21-Sep-15
